iter	Passed	Remaining
0	0	727
1	1	627
2	1	585
3	2	563
4	2	544
5	3	531
6	3	522
7	4	514
8	4	509
9	5	502
10	5	498
11	6	494
12	6	491
13	6	489
14	7	487
15	7	488
16	8	487
17	8	486
18	9	484
19	9	482
20	10	480
21	10	478
22	11	478
23	11	476
24	12	475
25	12	473
26	13	471
27	13	469
28	14	469
29	14	470
30	15	475
31	16	485
32	16	492
33	17	497
34	17	494
35	18	500
36	19	501
37	19	501
38	20	501
39	21	508
40	21	506
41	22	504
42	22	507
43	23	508
44	23	508
45	24	508
46	25	507
47	25	505
48	25	504
49	26	503
50	26	501
51	27	500
52	27	498
53	28	497
54	28	495
55	29	493
56	29	492
57	30	491
58	30	489
59	31	486
60	31	485
61	32	484
62	32	483
63	32	481
64	33	480
65	34	484
66	34	484
67	35	485
68	35	485
69	36	484
70	37	484
71	37	483
72	37	482
73	38	481
74	38	480
75	39	477
76	39	476
77	40	475
78	40	474
79	41	472
80	41	471
81	41	469
82	42	468
83	42	467
84	43	466
85	43	466
86	44	465
87	44	464
88	45	463
89	45	463
90	46	462
91	46	462
92	47	460
93	47	459
94	48	458
95	48	457
96	49	456
97	49	455
98	49	454
99	50	453
100	50	452
101	51	452
102	51	451
103	52	450
104	52	449
105	53	447
106	53	447
107	54	446
108	54	445
109	54	444
110	55	443
111	55	443
112	56	442
113	56	441
114	57	440
115	57	440
116	58	439
117	58	438
118	59	437
119	59	436
120	60	437
121	60	437
122	61	437
123	61	436
124	62	435
125	62	435
126	63	434
127	63	433
128	64	433
129	64	432
130	65	431
131	65	430
132	65	430
133	66	429
134	66	428
135	67	427
136	67	426
137	68	425
138	68	423
139	68	422
140	69	421
141	69	421
142	70	419
143	70	418
144	70	417
145	71	416
146	71	415
147	72	415
148	72	415
149	73	414
150	73	413
151	74	413
152	74	412
153	74	411
154	75	411
155	75	410
156	76	410
157	76	409
158	77	409
159	77	408
160	78	407
161	78	406
162	79	406
163	79	406
164	80	405
165	80	405
166	81	404
167	81	403
168	82	403
169	82	402
170	82	402
171	83	401
172	83	401
173	84	400
174	84	400
175	85	399
176	85	399
177	86	398
178	86	397
179	87	397
180	87	396
181	88	395
182	88	395
183	89	394
184	89	394
185	89	393
186	90	393
187	90	392
188	91	391
189	91	390
190	91	389
191	92	388
192	92	388
193	93	387
194	93	387
195	94	386
196	94	386
197	95	385
198	95	384
199	95	383
200	96	383
201	96	382
202	97	382
203	97	381
204	98	381
205	98	380
206	99	380
207	99	379
208	100	378
209	100	378
210	101	377
211	101	377
212	101	376
213	102	375
214	102	375
215	103	375
216	103	374
217	104	373
218	104	373
219	105	372
220	105	372
221	106	371
222	106	370
223	106	370
224	107	369
225	107	369
226	108	368
227	108	367
228	109	367
229	109	366
230	110	366
231	110	365
232	110	365
233	111	364
234	111	364
235	112	364
236	113	364
237	113	363
238	114	363
239	115	364
240	115	364
241	116	365
242	117	365
243	118	366
244	119	366
245	119	366
246	119	365
247	120	365
248	120	364
249	121	364
250	121	363
251	122	363
252	122	362
253	123	362
254	123	361
255	124	361
256	124	360
257	125	360
258	125	359
259	126	359
260	126	358
261	127	358
262	127	357
263	128	356
264	128	356
265	128	355
266	129	355
267	129	354
268	130	354
269	130	353
270	131	354
271	132	354
272	132	353
273	133	353
274	133	352
275	134	352
276	134	351
277	135	351
278	135	350
279	136	349
280	136	349
281	137	348
282	137	348
283	137	347
284	138	347
285	138	346
286	139	346
287	139	345
288	140	344
289	140	344
290	141	343
291	141	343
292	142	342
293	142	342
294	142	341
295	143	341
296	143	340
297	144	340
298	144	339
299	145	339
300	145	338
301	146	338
302	146	337
303	147	337
304	147	336
305	148	336
306	148	335
307	149	334
308	149	334
309	150	333
310	150	333
311	150	332
312	151	332
313	151	331
314	152	331
315	152	330
316	153	330
317	153	329
318	154	328
319	154	328
320	154	327
321	155	327
322	155	326
323	156	326
324	156	325
325	157	325
326	157	324
327	158	323
328	158	323
329	158	322
330	159	322
331	159	321
332	160	321
333	160	320
334	161	320
335	161	319
336	162	319
337	162	318
338	163	318
339	163	317
340	164	317
341	164	316
342	165	316
343	165	315
344	166	315
345	166	314
346	166	314
347	167	313
348	167	313
349	168	312
350	168	312
351	169	311
352	169	311
353	170	310
354	170	310
355	171	309
356	171	309
357	172	308
358	172	308
359	173	307
360	173	307
361	174	306
362	174	306
363	175	305
364	175	305
365	175	304
366	176	304
367	176	303
368	177	303
369	177	302
370	178	302
371	178	301
372	179	301
373	179	300
374	180	300
375	180	299
376	181	299
377	181	298
378	181	298
379	182	297
380	182	297
381	183	296
382	183	296
383	184	295
384	184	295
385	185	294
386	185	294
387	186	293
388	186	293
389	187	292
390	187	291
391	187	291
392	188	290
393	188	290
394	189	289
395	189	289
396	190	288
397	190	288
398	191	287
399	191	287
400	192	286
401	192	286
402	192	285
403	193	285
404	193	284
405	194	284
406	194	283
407	195	283
408	195	282
409	196	282
410	196	281
411	197	281
412	197	280
413	198	280
414	198	279
415	198	279
416	199	278
417	199	278
418	200	277
419	200	277
420	201	276
421	201	276
422	202	275
423	202	275
424	203	274
425	203	274
426	203	273
427	204	273
428	204	272
429	205	272
430	205	271
431	206	271
432	206	270
433	207	270
434	207	269
435	208	269
436	208	268
437	208	268
438	209	267
439	210	267
440	210	266
441	211	266
442	211	265
443	211	265
444	212	264
445	212	264
446	213	263
447	213	263
448	214	262
449	214	262
450	215	261
451	215	261
452	216	260
453	216	260
454	217	259
455	217	259
456	217	258
457	218	258
458	218	257
459	219	257
460	219	256
461	220	256
462	220	255
463	221	255
464	221	254
465	222	254
466	222	253
467	222	253
468	223	252
469	223	252
470	224	252
471	224	251
472	225	251
473	225	250
474	226	250
475	226	249
476	227	249
477	227	248
478	228	248
479	228	247
480	229	247
481	229	246
482	229	246
483	230	245
484	230	245
485	231	244
486	231	244
487	232	243
488	232	243
489	233	242
490	233	242
491	234	241
492	234	241
493	235	240
494	235	240
495	236	239
496	236	239
497	237	238
498	237	238
499	237	237
500	238	237
501	238	237
502	239	236
503	239	235
504	240	235
505	240	235
506	241	234
507	241	234
508	242	233
509	242	233
510	243	232
511	243	232
512	244	231
513	244	231
514	245	230
515	245	230
516	246	229
517	246	229
518	246	228
519	247	228
520	247	227
521	248	227
522	248	226
523	249	226
524	249	225
525	250	225
526	250	224
527	251	224
528	251	223
529	252	223
530	252	222
531	252	222
532	253	222
533	253	221
